movie_names,rating,rater
Widows,4,Eunice
Green Book,2,Eunice
Bohemian Rhapsody,3,Eunice
Aquaman,4,Eunice
Fantastic Beasts: The Crimes of Grindelwald,2,Eunice
Bumblebee,4,Eunice
Widows,3,Mike
Green Book,3,Mike
Bohemian Rhapsody,3,Mike
Aquaman,3,Mike
Fantastic Beasts: The Crimes of Grindelwald,3,Mike
Bumblebee,3,Mike
Widows,3,Christine
Green Book,3,Christine
Bohemian Rhapsody,3,Christine
Aquaman,3,Christine
Fantastic Beasts: The Crimes of Grindelwald,2,Christine
Bumblebee,3,Christine
Widows,4,Tiffany
Green Book,5,Tiffany
Bohemian Rhapsody,3,Tiffany
Aquaman,4,Tiffany
Fantastic Beasts: The Crimes of Grindelwald,3,Tiffany
Bumblebee,3,Tiffany
Widows,3,Ren
Green Book,3,Ren
Bohemian Rhapsody,2,Ren
Aquaman,3,Ren
Fantastic Beasts: The Crimes of Grindelwald,5,Ren
Bumblebee,1,Ren
